citylist,country,lat,lon,temp,temp_max,cloudiness,humidity,windspeed,date
Klaksvík,FO,62.2266,-6.589,5.0,5.0,75,75,4.63,1614968065
Hegang,CN,47.4,130.3667,-21.52,-21.52,9,87,3.16,1614968066
Tuktoyaktuk,CA,69.4541,-133.0374,-19.0,-19.0,75,78,5.66,1614968067
Ranong,TH,9.9658,98.6348,23.91,23.91,18,84,1.96,1614968067
Nikolskoye,RU,59.7035,30.7861,-4.87,-4.0,75,68,5.0,1614968069
Ponta do Sol,PT,32.6667,-17.1,13.13,15.56,38,54,3.13,1614968069
Butaritari,KI,3.0707,172.7902,27.01,27.01,93,76,7.69,1614968069
Tavda,RU,58.0425,65.2726,-8.29,-8.29,90,96,2.95,1614968069
Hay River,CA,60.8156,-115.7999,-5.49,-4.0,75,68,5.14,1614968070
Gornopravdinsk,RU,60.05,69.9,-8.85,-8.85,100,97,1.57,1614968071
Bintulu,MY,3.1667,113.0333,23.94,24.0,40,94,2.06,1614968071
Nome,US,64.5011,-165.4064,-12.22,-12.22,90,95,4.74,1614968072
Aligoodarz,IR,33.4006,49.6949,3.19,3.19,0,74,2.91,1614968072
Avera,US,33.194,-82.5271,16.74,18.0,1,25,4.12,1614968073
Rach Gia,VN,10.0167,105.0833,24.0,24.0,0,100,2.53,1614968073
Gravdal,NO,68.1214,13.5031,0.0,0.0,90,100,0.51,1614968074
Shihezi,CN,44.3,86.0333,-3.23,-3.23,84,94,0.9,1614968074
Djibo,BF,14.1022,-1.6306,32.07,32.07,0,12,2.15,1614968074
Lavrentiya,RU,65.5833,-171.0,-17.79,-17.79,72,92,3.52,1614967942
Bonavista,CA,48.6499,-53.1147,1.0,1.0,79,75,3.09,1614968075
Sitka,US,57.0531,-135.33,6.0,6.0,90,61,8.23,1614968076
Lata,PT,40.1629,-8.3327,15.37,16.11,77,74,2.24,1614968076
Coahuayana Viejo,MX,18.7333,-103.6833,29.0,29.0,1,37,3.01,1614968077
Tiksi,RU,71.6872,128.8694,-31.89,-31.89,61,86,1.82,1614968078
Dikson,RU,73.5069,80.5464,-33.94,-33.94,82,80,5.43,1614968079
Kuala Terengganu,MY,5.3302,103.1408,27.89,28.0,40,78,2.57,1614968079
Qena,EG,26.1615,32.7183,21.0,21.0,0,30,1.03,1614968080
Hasaki,JP,35.7333,140.8333,10.0,10.0,75,100,1.54,1614968081
Khatanga,RU,71.9667,102.5,-29.26,-29.26,72,85,4.42,1614968082
Guerrero Negro,MX,27.9769,-114.0611,21.19,21.19,0,28,2.55,1614968082
Bāfq,IR,31.6128,55.4107,19.35,19.35,51,38,7.54,1614968083
Mongo,TD,12.1844,18.693,29.5,29.5,0,13,3.54,1614968083
Kodinsk,RU,58.6881,99.1844,-11.03,-11.03,100,95,2.21,1614968083
Dzhebariki-Khaya,RU,62.2167,135.8,-39.01,-39.01,96,81,0.93,1614968083
Gryazi,RU,52.4966,39.9359,-4.88,-4.88,69,97,2.11,1614968084
Narutochō-mitsuishi,JP,34.1833,134.6167,12.22,13.0,75,88,2.57,1614968085
Chapais,CA,49.7834,-74.8492,-16.0,-16.0,90,72,6.69,1614968086
Calamar,CO,10.2511,-74.9146,30.0,30.0,20,62,7.72,1614968086
Kisangani,CD,0.5167,25.2,27.35,27.35,75,57,0.94,1614968086
Qaanaaq,GL,77.484,-69.3632,-30.04,-30.04,0,62,1.76,1614968087
Nouadhibou,MR,20.931,-17.0347,21.0,21.0,0,64,9.77,1614968088
Guatire,VE,10.4762,-66.5427,27.08,30.0,40,70,2.06,1614968089
Gijang,KR,35.2442,129.2139,10.0,10.0,0,87,1.54,1614968090
Khanpur,PK,28.6453,70.6567,21.01,21.01,0,22,1.89,1614968091
Llanes,ES,43.4198,-4.7549,11.32,11.67,99,76,5.73,1614968092
Chumikan,RU,54.7183,135.315,-25.6,-25.6,84,81,9.68,1614967939
Houma,US,29.5958,-90.7195,21.24,22.22,40,43,5.14,1614967964
Pemangkat,ID,1.1667,108.9667,25.53,25.53,100,86,2.85,1614968093
Karachev,RU,53.1229,34.9852,-6.01,-6.01,86,95,2.1,1614968094
Iqaluit,CA,63.7506,-68.5145,-17.0,-17.0,75,78,14.4,1614968094
Forsytheganj,BY,52.6333,29.7333,-3.55,-3.55,100,93,3.12,1614968096
Gimli,CA,50.6336,-96.9907,-4.0,-4.0,86,74,2.57,1614968096
Severo-Kuril'sk,RU,50.6789,156.125,1.61,1.61,98,88,10.17,1614968096
Osoyoos,CA,49.0331,-119.4524,9.0,9.0,100,57,3.6,1614968097
Simao,CN,22.7886,100.9748,12.24,12.24,0,42,0.51,1614968097
Olafsvik,IS,64.8945,-23.7142,5.38,5.38,85,86,6.23,1614968098
Bac Lieu,VN,9.285,105.7244,24.6,24.6,1,86,4.49,1614968100
Provideniya,RU,64.3833,-173.3,-15.83,-15.83,100,92,3.18,1614967942
Kristiansund,NO,63.1115,7.732,3.0,3.0,75,87,12.35,1614968100
Adrar,MR,20.5022,-10.0711,29.23,29.23,0,12,1.87,1614968101
Shingū,JP,33.7333,135.9833,14.3,14.3,100,90,4.12,1614968102
Sangar,RU,63.9242,127.4739,-38.67,-38.67,15,82,1.55,1614968103
West Richland,US,46.3043,-119.3614,8.02,10.56,1,81,1.5,1614968104
Kralendijk,BQ,12.15,-68.2667,30.0,30.0,75,66,7.2,1614968045
Cockburn Town,TC,21.4612,-71.1419,27.0,27.0,40,69,4.12,1614968105
Itháki,GR,38.3642,20.7185,12.03,13.0,40,71,0.7,1614968105
Sakakah,SA,29.9697,40.2064,14.0,14.0,0,35,3.6,1614968105
Saint Anthony,US,45.0205,-93.218,4.77,5.56,75,42,3.6,1614968105
Longyearbyen,SJ,78.2186,15.6401,-13.0,-13.0,75,66,15.43,1614968106
Praia da Vitória,PT,38.7333,-27.0667,16.86,17.0,0,67,3.13,1614968106
Esim,GH,4.8699,-2.2405,27.71,27.71,35,81,4.74,1614968107
Enshi,CN,30.3,109.4833,10.91,10.91,85,82,0.64,1614968107
Cherskiy,RU,68.75,161.3,-23.22,-23.22,100,90,3.69,1614968107
Porto-Novo,BJ,6.4965,2.6036,30.0,30.0,20,79,6.69,1614968108
Lingao,CN,19.9103,109.6859,22.71,22.71,12,90,3.39,1614968109
Anadyr,RU,64.75,177.4833,-23.0,-23.0,90,77,7.0,1614968112
Eureka,US,40.8021,-124.1637,11.07,11.67,90,87,3.09,1614967825
Zaragoza,ES,41.6561,-0.8773,15.04,16.11,0,62,1.54,1614967907
La Ronge,CA,55.1001,-105.2842,0.0,0.0,100,69,5.14,1614968153
Zhaoyuan,CN,37.3592,120.3964,2.22,2.22,100,58,7.47,1614968154
Khandyga,RU,62.6667,135.6,-38.71,-38.71,98,82,0.76,1614968155
Miraflores,MX,19.2167,-98.8083,24.92,27.0,20,19,2.57,1614968155
Omsukchan,RU,62.5333,155.8,-31.98,-31.98,100,82,2.48,1614968156
Mehamn,NO,71.0357,27.8492,-7.0,-7.0,20,79,6.69,1614968156
Loreto,MX,22.2667,-101.9667,25.67,25.67,19,17,3.97,1614968156
Oktyabr'skiy,RU,54.4815,53.471,-13.25,-13.25,33,93,1.61,1614968156
Dakar,SN,14.6937,-17.4441,22.0,22.0,12,68,5.14,1614968008
Mokhsogollokh,RU,61.4681,128.9203,-34.15,-34.15,12,84,1.98,1614967938
Hagi,JP,34.4,131.4167,11.75,13.0,75,88,0.51,1614968158
Bitkine,TD,11.9801,18.2138,29.38,29.38,0,13,3.64,1614968158
Srednekolymsk,RU,67.45,153.6833,-20.16,-20.16,100,90,9.43,1614968158
Bandarbeyla,SO,9.4942,50.8122,24.92,24.92,65,71,5.58,1614968159
Kynšperk nad Ohří,CZ,50.1189,12.5303,-2.23,-0.56,26,56,1.8,1614968160
Phan Thiet,VN,10.9333,108.1,21.47,21.47,0,83,3.37,1614968160
Lagoa,PT,39.05,-27.9833,14.34,14.34,68,72,4.21,1614968161
San Cristobal,VE,7.7669,-72.225,28.0,28.0,40,61,4.12,1614968161
Lompoc,US,34.6391,-120.4579,13.23,14.44,20,62,2.94,1614968161
Bulgan,MN,48.8125,103.5347,-8.91,-8.91,19,79,1.73,1614968162
Jiblah,YE,13.9216,44.1467,15.89,15.89,68,61,1.82,1614968162
Broome,US,42.2506,-75.833,-4.43,-2.78,1,45,7.2,1614968163
Zhigansk,RU,66.7697,123.3711,-38.14,-38.14,1,83,1.75,1614967935
Haines Junction,CA,60.7522,-137.5108,-20.0,-20.0,100,84,0.35,1614968163
Fukuechō,JP,32.6881,128.8419,14.26,14.26,100,81,8.1,1614968163
Tura,IN,25.5198,90.2201,20.21,20.21,85,41,2.41,1614968164
Mosquera,CO,4.7059,-74.2302,17.0,17.0,40,63,3.6,1614968060
Saint George,US,37.1041,-113.5841,13.86,14.44,1,37,2.06,1614968089
Tomatlán,MX,19.9333,-105.25,30.82,30.82,3,35,4.16,1614968166
San Vicente de Chucurí,CO,6.881,-73.4098,25.0,25.0,40,65,3.09,1614968167
Pacific Grove,US,36.6177,-121.9166,13.07,13.89,53,79,0.89,1614968168
Sandwick,GB,60.0,-1.25,5.0,5.0,75,75,8.23,1614968168
Pingliang,CN,35.5392,106.6861,6.94,6.94,100,56,2.46,1614968169
Sidi Ali,DZ,36.0998,0.4206,13.15,13.15,100,83,2.87,1614968169
Tarakan,ID,3.3,117.6333,25.37,25.37,56,84,2.57,1614968169
Tegul'det,RU,57.3064,88.1667,-6.65,-6.65,100,97,4.97,1614968170
Qasigiannguit,GL,68.8193,-51.1922,-6.0,-6.0,75,86,3.09,1614968171
Makhalino,RU,53.0854,46.2211,-9.62,-9.62,0,96,2.57,1614968171
Zarasai,LT,55.7333,26.25,-3.26,-3.26,83,96,0.41,1614968173
Sabaneta,CO,6.15,-75.6,18.07,19.0,75,68,3.09,1614968173
Nanortalik,GL,60.1432,-45.2371,1.66,1.66,21,88,2.14,1614968173
Barra de Tecoanapa,MX,16.5167,-98.75,27.82,27.82,51,51,4.45,1614968174
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-2.0,-2.0,90,100,2.0,1614968175
Sivaki,RU,52.6333,126.75,-25.56,-25.56,0,86,3.99,1614968175
Eyl,SO,7.9803,49.8164,24.34,24.34,53,74,6.2,1614968177
Verāval,IN,20.9,70.3667,25.02,25.02,0,66,3.34,1614968177
Palmer,US,42.1584,-72.3287,-2.38,-0.56,75,20,8.75,1614968178
Uyemskiy,RU,64.4743,40.8524,-17.0,-17.0,90,85,1.39,1614968178
Sittwe,MM,20.15,92.9,22.13,22.13,13,82,1.51,1614968178
Pevek,RU,69.7008,170.3133,-24.25,-24.25,100,86,2.41,1614968181
Laas,IT,46.6166,10.7002,7.18,14.0,75,80,3.09,1614968181
Sarangani,PH,5.4033,125.4636,27.73,27.73,34,76,7.85,1614968183
Troitsko-Pechorsk,RU,62.7084,56.1964,-16.34,-16.34,100,94,2.18,1614968184
Myślenice,PL,49.8338,19.9383,0.27,1.11,20,80,2.57,1614968185
Kavaratti,IN,10.5669,72.642,28.28,28.28,8,62,2.84,1614968186
Rāzole,IN,16.4833,81.8333,20.75,20.75,0,83,0.57,1614968186
Arlit,NE,18.7369,7.3853,28.02,28.02,79,14,2.84,1614968187
Port Blair,IN,11.6667,92.75,27.08,27.08,0,82,4.04,1614968114
Muisne,EC,0.6,-80.0333,25.0,25.0,90,94,5.14,1614968188
Ciénaga de Oro,CO,8.8744,-75.6203,34.42,34.42,89,35,1.25,1614968189
Sestu,IT,39.2943,9.093,14.38,15.0,40,100,1.54,1614968189
Sabang,ID,5.8933,95.3214,28.14,28.14,93,77,3.04,1614968189
Poplar Bluff,US,36.757,-90.3929,6.08,6.11,1,61,6.17,1614968190
Norton Shores,US,43.1689,-86.2639,4.04,5.0,20,52,5.66,1614968192
Vieux-Habitants,GP,16.0589,-61.7659,29.0,29.0,90,58,6.17,1614968192
George Town,MY,5.4112,100.3354,27.32,28.0,20,78,2.06,1614968193
Bilibino,RU,68.0546,166.4372,-28.97,-28.97,100,84,0.48,1614968193
Solnechnyy,RU,50.7214,136.6319,-24.73,-24.73,45,85,1.36,1614968193
Florø,NO,61.5996,5.0328,0.0,0.0,75,100,4.12,1614968193
Antigonish,CA,45.6169,-61.9986,-3.63,-3.33,82,60,3.13,1614968194
Hong Kong,HK,22.2855,114.1577,19.88,20.56,86,93,5.93,1614968195
Maridi,SS,4.9158,29.4742,26.74,26.74,90,26,1.28,1614968197
Soyung,PH,16.7001,121.6655,20.68,20.68,0,92,0.52,1614968197
Dongsheng,CN,39.8161,109.9776,-1.93,-1.93,87,84,2.18,1614968197
Xingcheng,CN,40.6167,120.7167,-6.3,-6.3,63,73,7.48,1614968182
Dawei,MM,14.0833,98.2,23.88,23.88,31,84,1.2,1614968199
Ginda,IN,30.6945,78.4932,8.93,8.93,0,40,3.22,1614968200
Millinocket,US,45.6573,-68.7098,-8.0,-8.0,1,41,4.63,1614968200
Pīpri,IN,19.8,75.5333,23.0,23.0,0,40,1.03,1614968201
Along,IN,28.1667,94.7667,13.91,13.91,99,85,1.47,1614968203
Balyqshy,KZ,47.0667,51.8667,2.0,2.0,32,93,8.0,1614968203
Bileća,BA,42.8719,18.4297,7.8,10.0,40,93,4.12,1614968203
Katsuura,JP,35.1333,140.3,11.04,12.0,75,94,2.06,1614968204
Zarand,IR,30.8127,56.564,16.44,16.44,70,41,6.87,1614968204
Baytown,US,29.7355,-94.9774,18.86,19.44,93,86,0.89,1614968110
Qaqortoq,GL,60.7167,-46.0333,2.0,2.0,20,87,3.6,1614968206
Makarov,RU,48.6333,142.8,-17.62,-17.62,98,91,2.57,1614968207
Port Hardy,CA,50.6996,-127.4199,6.39,7.0,90,93,2.06,1614968113
Bilma,NE,18.6853,12.9164,25.24,25.24,0,15,4.02,1614968207
Neyshabur,IR,36.2133,58.7958,11.93,11.93,98,65,3.74,1614968209
Langenhagen,DE,52.45,9.75,2.02,2.78,0,51,2.06,1614968209
Fortuna,US,40.5982,-124.1573,11.67,11.67,100,75,2.68,1614968210
Matara,LK,5.9485,80.5353,25.32,25.32,100,78,0.81,1614968210
Benghazi,LY,32.1167,20.0667,18.21,18.21,60,41,4.32,1614968211
Sulphur Springs,US,33.1385,-95.6011,11.65,12.0,90,100,4.63,1614968211
Bridlington,GB,54.0831,-0.1919,3.71,4.44,80,78,3.75,1614968212
Al Bardīyah,LY,31.7561,25.0865,15.96,15.96,19,68,4.76,1614968212
Nizhniy Kuranakh,RU,58.8353,125.4869,-30.85,-30.85,21,81,1.8,1614967937
Pacifica,US,37.6138,-122.4869,13.65,15.0,20,71,2.57,1614968215
Takoradze,GH,4.8845,-1.7554,28.09,28.09,38,79,5.25,1614968215
Terrace,CA,54.5163,-128.6035,2.0,2.0,90,80,10.29,1614968114
Kamaishi,JP,39.2667,141.8833,8.59,8.59,68,83,3.57,1614968216
Tra Vinh,VN,9.9347,106.3453,23.12,23.12,1,91,2.67,1614968216
Dalvik,IS,65.9702,-18.5286,4.0,4.0,75,70,5.66,1614968217
Sept-Îles,CA,50.2001,-66.3821,-2.93,-2.22,90,50,6.17,1614968217
Asău,RO,46.4333,26.4,4.44,4.44,88,59,2.37,1614968217
Gull Lake,CA,50.1001,-108.4847,6.0,6.0,1,65,3.6,1614968218
Pasān,IN,22.85,82.2,20.37,20.37,4,22,1.49,1614968219
Havre-St-Pierre,CA,50.2334,-63.5986,-5.0,-5.0,90,80,8.23,1614968220
Rewāri,IN,28.1833,76.6167,20.0,20.0,0,60,3.09,1614968220
San Francisco de Macorís,DO,19.2952,-70.2554,31.25,32.0,20,45,3.6,1614968221
Luleå,SE,65.5842,22.1547,-5.0,-5.0,0,54,2.06,1614968222
Naze,JP,28.3667,129.4833,15.99,15.99,41,78,4.29,1614968222
Meulaboh,ID,4.1363,96.1285,25.39,25.39,69,86,1.18,1614968223
Kohima,IN,25.6667,94.1167,11.79,11.79,70,55,1.77,1614968223
Yangi Marg`ilon,UZ,40.4272,71.7189,7.0,7.0,0,49,3.09,1614968224
Fuling,CN,29.7022,107.3919,10.92,10.92,24,80,1.32,1614968224
Boffa,GN,10.1667,-14.0333,28.1,28.1,23,59,5.01,1614968225
Toora-Khem,RU,52.4675,96.11,-10.05,-10.05,79,93,1.34,1614968225
Djibouti,DJ,11.5,42.5,23.26,23.26,94,58,5.72,1614968227
Salalah,OM,17.0151,54.0924,26.0,26.0,0,57,1.54,1614968227
Yishui,CN,35.7847,118.6281,1.42,1.42,100,86,7.31,1614968227
Pāsighāt,IN,28.0667,95.3333,17.29,17.29,99,66,1.49,1614968228
Nālūt,LY,30.3333,10.85,16.78,16.78,17,31,4.22,1614968228
Atasū,KZ,48.6814,71.6433,-11.25,-11.25,72,95,4.81,1614968229
Kon Tum,VN,14.35,108.0,17.11,17.11,0,82,0.74,1614968231
Portobelo,PA,9.55,-79.65,28.55,31.67,8,49,5.36,1614968232
Vestmannaeyjar,IS,63.4427,-20.2734,7.0,7.0,75,87,5.14,1614968233
Klyuchevsk,RU,57.1216,60.9414,-6.0,-6.0,40,68,6.0,1614968235
Torrevieja,ES,37.9787,-0.6822,13.77,14.44,64,84,2.68,1614968236
São Filipe,CV,14.8961,-24.4956,21.7,21.7,50,73,7.51,1614968274
Bethel,US,41.3712,-73.414,0.62,1.11,1,23,6.69,1614968275
Freeport,US,40.6576,-73.5832,1.61,2.22,1,21,6.17,1614968035
Arman',RU,59.7,150.1667,-27.51,-27.51,9,76,2.77,1614968276
Fernie,CA,49.5,-115.0687,3.55,8.0,62,55,1.28,1614968277
Tekeli,KZ,44.83,78.8239,-7.03,-7.03,0,72,5.11,1614968277
Khātegaon,IN,22.6,76.9167,23.3,23.3,5,17,3.62,1614968278
Sawākin,SD,19.1059,37.3321,22.81,22.81,0,62,5.57,1614968279
Varniai,LT,55.7406,22.3644,-3.0,-3.0,75,93,5.14,1614968279
Östersund,SE,63.1792,14.6357,-1.54,-1.11,90,86,3.6,1614968280
Leningradskiy,RU,69.3833,178.4167,-21.0,-21.0,100,91,1.15,1614968280
Tawang Town,IN,27.5833,91.8667,0.66,0.66,98,89,0.76,1614968281
Tilichiki,RU,60.4667,166.1,-31.7,-31.7,88,87,1.86,1614968281
Yebaishou,CN,41.3975,119.6408,-11.45,-11.45,31,70,2.96,1614968282
Deputatsky,RU,69.3,139.9,-30.23,-30.23,100,85,5.34,1614968282
Yarkovo,RU,57.4028,67.0786,-5.95,-5.95,98,96,2.93,1614968282
Bad Bevensen,DE,53.0833,10.5833,0.78,2.0,20,48,2.06,1614968282
Timizart,DZ,36.8,4.2667,10.65,10.65,9,89,1.91,1614968283
Norman Wells,CA,65.282,-126.8329,-21.0,-21.0,40,71,1.03,1614968284
Pundaguitan,PH,6.3711,126.1689,26.97,26.97,33,79,6.24,1614968285
Banamba,ML,13.55,-7.45,35.98,35.98,28,11,2.66,1614968285
Belaya Gora,RU,68.5333,146.4167,-25.88,-25.88,100,87,10.79,1614968286
Dogondoutchi,NE,13.6393,4.0287,32.56,32.56,42,12,3.68,1614968287
Nyahururu,KE,0.0421,36.3673,15.27,15.27,93,75,5.12,1614968287
Laichow,CN,37.1717,119.9214,-0.89,-0.89,100,86,8.41,1614968288
Andenes,NO,69.3143,16.1194,0.6,1.0,90,93,6.17,1614968288
Severo-Yeniseyskiy,RU,60.3725,93.0408,-7.74,-7.74,100,97,3.26,1614968290
Husavik,IS,66.0449,-17.3389,4.0,4.0,75,70,5.66,1614968290
Barcelos,PT,41.5388,-8.6151,16.95,18.33,20,63,1.54,1614968153
Saint-Louis,SN,16.3333,-15.0,38.0,38.0,0,16,1.6,1614968291
Suslovo,RU,56.2167,88.1167,-4.65,-4.65,86,98,7.4,1614968292
Ereymentau,KZ,51.6199,73.1033,-7.1,-7.1,98,94,12.59,1614968292
Half Moon Bay,US,37.4636,-122.4286,13.62,15.0,1,67,3.09,1614968293
Valle de Allende,MX,26.9333,-105.4,17.51,17.51,13,26,4.75,1614968294
Dalbandin,PK,28.8947,64.4101,22.3,22.3,0,21,1.4,1614968294
Kedrovka,RU,55.5333,86.05,-4.0,-4.0,90,86,8.0,1614968295
Zaysan,KZ,47.4667,84.8667,-7.31,-7.31,69,86,2.4,1614968296
Seydişehir,TR,37.4193,31.8453,4.62,4.62,0,67,1.65,1614968298
Northam,GB,51.0333,-4.2167,4.06,5.0,20,73,0.89,1614968299
Longkou,CN,37.6508,120.3286,-0.98,-0.98,100,88,11.72,1614968300
Havelock,US,34.8791,-76.9013,9.77,10.56,1,29,6.69,1614968191
Lyubech,UA,51.7026,30.6569,-3.38,-3.38,100,94,1.69,1614968300
Arrondissement d'Ajaccio,FR,42.0,8.9167,11.0,11.0,0,76,2.06,1614968301
Severomuysk,RU,56.1481,113.4267,-25.2,-25.2,47,73,1.23,1614968301
Alice,US,27.7523,-98.0697,27.01,28.0,40,50,5.66,1614968301
Lac du Bonnet,CA,50.2536,-96.0612,1.68,1.68,82,88,2.08,1614968302
Paredon,MX,16.0333,-93.8667,30.17,30.17,1,52,4.8,1614968302
Erenhot,CN,43.6475,111.9767,-12.18,-12.18,0,82,3.86,1614968302
Tūkrah,LY,32.5341,20.5791,15.16,15.16,62,51,5.24,1614968303
Barra Patuca,HN,15.8,-84.2833,27.55,27.55,9,53,2.86,1614968303
Narasannapeta,IN,18.4167,84.05,22.84,22.84,0,78,2.86,1614968303
Makakilo City,US,21.3469,-158.0858,18.7,19.0,90,88,2.57,1614968304
Ishigaki,JP,24.3448,124.1572,22.01,22.01,55,86,6.77,1614968304
La Rioja,ES,42.25,-2.5,11.83,12.0,20,66,1.54,1614968305
Emba,KZ,48.8264,58.1442,-3.34,-3.34,71,97,7.71,1614968305
Kumul,CN,42.8,93.45,4.17,4.17,52,63,1.51,1614968306
Cabo San Lucas,MX,22.8909,-109.9124,24.65,27.22,1,60,2.06,1614968307
Celestún,MX,20.8667,-90.4,28.43,28.43,6,59,3.11,1614968307
Pangody,RU,65.85,74.4859,-12.83,-12.83,100,96,2.16,1614968308
Tavricheskoye,RU,54.5851,73.6395,-3.0,-3.0,75,93,7.0,1614968309
Clyde River,CA,70.4692,-68.5914,-28.0,-28.0,1,69,8.23,1614968309
Mogadishu,SO,2.0371,45.3438,25.93,25.93,52,79,11.58,1614968310
Zhengjiatun,CN,43.5064,123.5064,-10.77,-10.77,0,78,1.39,1614968310
Maţāy,EG,28.419,30.7792,15.65,15.65,0,33,4.87,1614968174
Cape Canaveral,US,28.4058,-80.6048,23.12,23.89,1,35,3.6,1614968311
Davila,PH,18.4726,120.5763,27.0,27.0,20,78,5.14,1614968311
West Bay,KY,19.3667,-81.4167,25.71,26.0,75,73,5.14,1614968312
Ust-Nera,RU,64.5667,143.2,-34.21,-34.21,100,74,2.85,1614968312
Yatou,CN,37.15,122.3833,0.48,0.48,98,86,8.73,1614968314
The Pas,CA,53.8251,-101.2541,-4.0,-4.0,75,68,6.17,1614968314
Aberdeen,GB,57.1437,-2.0981,1.56,2.22,78,64,0.51,1614968126
Bafra,TR,41.5678,35.9069,11.11,11.11,0,60,0.89,1614968315
Sakīt,IN,27.45,78.8167,21.04,21.04,0,22,4.47,1614968316
Malumfashi,NG,11.7853,7.6218,28.33,28.33,26,15,3.69,1614968316
Khāsh,IR,28.2211,61.2158,18.22,18.22,17,28,2.69,1614968086
Xichang,CN,27.8964,102.2634,11.26,11.26,97,71,0.94,1614968317
Thinadhoo,MV,0.5333,72.9333,28.68,28.68,8,67,2.74,1614968318
Laguna,US,38.421,-121.4238,14.77,16.11,1,58,4.63,1614968319
La Asuncion,VE,11.0333,-63.8628,26.71,26.71,67,75,7.16,1614968221
Tateyama,JP,34.9833,139.8667,11.11,11.11,100,100,0.67,1614968320
Am Timan,TD,11.0297,20.2827,30.13,30.13,43,13,1.81,1614968320
